CI;301.34;true;23;277.0;314.43;319.0;340.0;true;2.2;0.68;true;17.98;4.48;2022-09-06;0.52;0.83
CINF;99.24;true;5;100.0;108.0;102.0;130.0;true;2.9;0.57;true;30.92;2.76;2022-09-15;0.94;1.15
CL;71.47;true;20;64.0;79.35;80.0;90.0;true;2.7;0.51;true;31.07;1.88;2022-10-20;0.58;1.17
CLX;136.25;true;18;94.0;129.74;128.0;165.0;true;3.4;0.23;true;36.53;4.72;2022-10-25;0.48;0.97
CMA;65.34;true;19;77.0;85.49;84.0;105.0;true;2.1;1.27;true;8.64;2.72;2022-09-14;0.0;0.0
CMCSA;30.48;true;32;30.0;44.69;45.0;70.0;true;2.4;0.98;true;9.93;1.08;2022-10-04;0.68;0.88
CME;169.99;true;16;161.0;209.94;209.5;270.0;true;2.4;0.44;true;21.12;4.0;2022-09-08;0.02;1.02
CMG;1549.82;true;30;1500.0;1799.83;1790.0;2500.0;true;1.8;1.29;true;57.55;0.0;;1.13;1.26
CMI;232.79;true;19;190.0;245.71;241.0;303.9;true;2.4;1.0;true;16.27;6.28;2022-11-17;0.93;1.66
CMS;54.43;true;17;54.0;66.88;68.0;75.0;true;2.5;0.35;true;20.62;1.84;2022-08-04;0.45;1.0
CNC;73.85;true;19;90.0;102.37;103.0;116.0;true;1.9;0.58;true;23.52;0.0;;1.01;1.11
CNP;27.01;true;16;27.0;32.0;32.0;37.0;true;1.9;0.88;true;20.31;0.72;2022-11-16;0.55;1.03
COF;96.25;true;19;68.0;126.91;121.0;171.0;true;2.3;1.42;true;4.2;2.4;2022-08-05;0.0;0.0
COO;259.99;true;10;280.0;353.8;346.5;560.0;true;2.5;0.93;true;30.27;0.06;2022-07-26;0.57;1.16
COP;124.49;true;26;87.0;128.06;132.0;149.0;true;1.9;1.29;true;10.27;1.92;2022-09-28;1.33;1.54
COST;478.18;true;29;455.0;565.17;565.0;678.0;true;2.1;0.72;true;36.39;3.6;2022-10-27;0.41;1.02
CPB;50.25;true;17;39.0;48.12;48.0;55.0;true;3.3;0.36;true;20.02;1.48;2022-10-05;0.22;0.68
CPRT;109.63;true;7;131.0;149.71;143.0;182.0;true;1.6;1.17;true;24.09;0.0;;3.57;4.99
CPT;113.89;true;20;126.0;155.6;152.0;208.0;true;2.1;0.79;true;14.75;3.65;2022-09-29;0.11;0.12
CRL;200.18;true;12;240.0;270.17;278.5;300.0;true;1.7;1.29;true;23.17;0.0;;0.91;1.33
CRM;160.17;true;46;150.0;220.18;219.5;385.0;true;1.9;1.1;true;302.21;0.0;;0.91;1.06
CSCO;42.8;true;23;44.0;54.78;53.0;73.0;true;2.5;0.95;true;15.18;1.52;2022-10-04;1.16;1.43
CSGP;71.8;true;11;67.0;83.36;85.0;92.0;true;1.8;0.88;true;84.47;0.0;;11.8;11.95
CSX;27.54;true;26;23.0;32.81;32.5;41.0;true;2.2;1.24;true;14.65;0.4;2022-11-29;0.96;1.72
CTAS;399.94;true;11;373.0;444.27;450.0;495.0;true;2.2;1.38;true;33.52;4.0;2022-08-12;0.72;1.72
CTLT;67.63;true;13;105.0;121.77;125.0;138.0;true;1.7;1.39;true;25.05;0.0;;1.85;2.72
CTRA;29.67;true;23;26.0;36.61;35.0;54.0;true;2.6;0.15;true;7.12;2.6;2022-08-12;1.75;1.8
CTSH;60.28;true;22;55.0;74.78;76.0;98.0;true;2.6;1.05;true;13.99;1.08;2022-08-18;2.06;2.23
CTVA;62.88;true;20;55.9;69.09;70.5;80.0;true;2.2;0.7;true;25.98;0.6;2022-08-11;1.23;1.88
CVS;92.72;true;23;98.0;118.39;120.0;130.0;true;2.1;0.71;true;15.1;2.2;2022-10-20;0.62;0.91
CVX;173.19;true;27;145.0;182.17;185.0;210.0;true;2.3;1.13;true;11.55;5.68;2022-08-18;1.0;1.31
CZR;39.61;true;12;27.0;69.75;67.5;102.0;true;1.9;2.77;true;0.0;0.0;;0.3;1.0
D;65.53;true;15;71.0;82.73;83.0;94.0;true;2.4;0.49;true;33.95;2.67;2022-09-01;0.37;0.87
DAL;32.58;true;15;35.0;47.73;47.0;74.0;true;1.7;1.17;true;250.62;0.0;2020-02-19;0.44;0.57
DD;55.58;true;18;76.0;91.78;92.5;108.0;true;2.2;1.2;true;19.03;1.32;2022-07-28;0.67;2.55
DE;383.06;true;23;289.0;399.22;411.0;450.0;true;2.1;1.06;true;19.14;4.52;2022-09-29;1.69;1.98
DFS;94.68;true;17;97.0;113.71;110.0;135.0;true;2.3;1.4;true;6.14;2.4;2022-10-13;1.24;1.24
DG;239.37;true;23;199.0;267.0;273.0;296.0;true;2.1;0.39;true;23.84;2.2;2022-10-03;0.05;1.01
DGX;136.75;true;14;135.0;144.21;145.0;160.0;true;2.5;0.97;true;11.35;2.64;2022-10-03;1.24;1.46
DHI;69.75;true;17;70.0;91.47;89.0;115.0;true;2.0;1.54;true;4.49;0.9;2022-08-03;0.4;5.42
